cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;n_studenti;trial_error;rank_trial_error
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810042;DIRITTO COSTITUZIONALE EUROPEO ( I DIRITTI FONDAMENTALI) MOD. JEAN MONNET;A5810042 - DIRITTO COSTITUZIONALE EUROPEO ( I DIRITTI FONDAMENTALI) MOD. JEAN MONNET;47;0.34;21
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810093;ORDINAMENTO GIUDIZIARIO;A5810093 - ORDINAMENTO GIUDIZIARIO;31;0.323;22
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810082;GIUSTIZIA COSTITUZIONALE;A5810082 - GIUSTIZIA COSTITUZIONALE;61;0.32;23
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810134;FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO;A5810134 - FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO;50;0.3;24
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810066;DIRITTO SINDACALE;A5810066 - DIRITTO SINDACALE;5;0.3;24
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810126;DIRITTO CIVILE (IL CONTRATTO);A5810126 - DIRITTO CIVILE (IL CONTRATTO);32;0.297;25
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810133;DIRITTO PUBBLICO COMPARATO;A5810133 - DIRITTO PUBBLICO COMPARATO;51;0.294;26
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810136;STORIA DEL PROCESSO PENALE;A5810136 - STORIA DEL PROCESSO PENALE;55;0.282;27
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810039;STORIA DEL DIRITTO DI FAMIGLIA;A5810039 - STORIA DEL DIRITTO DI FAMIGLIA;110;0.273;28
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810129;DIRITTO DELLA NAVIGAZIONE;A5810129 - DIRITTO DELLA NAVIGAZIONE;15;0.267;29
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810122;MEDIAZIONE REO-VITTIMA E MEDIAZIONE SOCIALE;A5810122 - MEDIAZIONE REO-VITTIMA E MEDIAZIONE SOCIALE;15;0.267;29
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810010;DIRITTO AMMINISTRATIVO;A5810010 - DIRITTO AMMINISTRATIVO;220;0.261;30
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810043;DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE;A5810043 - DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE;108;0.255;31
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810062;DIRITTO PENALE MINORILE;A5810062 - DIRITTO PENALE MINORILE;72;0.25;32
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810049;DIRITTO BANCARIO;A5810049 - DIRITTO BANCARIO;27;0.241;33
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810077;DIRITTO DELLE ASSICURAZIONI;A5810077 - DIRITTO DELLE ASSICURAZIONI;20;0.225;34
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810128;DIRITTO DEL LAVORO;A5810128 - DIRITTO DEL LAVORO;219;0.224;35
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810116;COMPARATIVE CIVIL PROCEDURE;A5810116 - COMPARATIVE CIVIL PROCEDURE;7;0.214;36
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810132;DIRITTO PRIVATO COMPARATO;A5810132 - DIRITTO PRIVATO COMPARATO;143;0.21;37
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810053;DIRITTO DELL'ESECUZIONE CIVILE;A5810053 - DIRITTO DELL'ESECUZIONE CIVILE;12;0.208;38
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810106;BIOETICA;A5810106 - BIOETICA;55;0.2;39
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810089;PROCEDURA PENALE SOVRANAZIONALE;A5810089 - PROCEDURA PENALE SOVRANAZIONALE;15;0.2;39
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810058;DIRITTO INTERNAZIONALE DEI CONFLITTI ARMATI;A5810058 - DIRITTO INTERNAZIONALE DEI CONFLITTI ARMATI;35;0.2;39
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810054;DIRITTO DELLE SUCCESSIONI;A5810054 - DIRITTO DELLE SUCCESSIONI;20;0.2;39
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810131;DIRITTO PARLAMENTARE;A5810131 - DIRITTO PARLAMENTARE;25;0.18;40
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810215;PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA;A5810215 - PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA;9;0.167;41
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810165;INTERNATIONAL PEACEKEEPING AND UNITED NATIONS LAW;A5810165 - INTERNATIONAL PEACEKEEPING AND UNITED NATIONS LAW;9;0.167;41
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810030;DIRITTO ECCLESIASTICO;A5810030 - DIRITTO ECCLESIASTICO;116;0.155;42
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810051;DIRITTO DEL LAVORO C.P.;A5810051 - DIRITTO DEL LAVORO C.P.;13;0.154;43
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810125;DIRITTO CIVILE (ILLECITO);A5810125 - DIRITTO CIVILE (ILLECITO);219;0.153;44
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810061;DIRITTO PENALE COMMERCIALE;A5810061 - DIRITTO PENALE COMMERCIALE;23;0.152;45
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810032;SOCIOLOGIA DEL DIRITTO;A5810032 - SOCIOLOGIA DEL DIRITTO;152;0.148;46
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810067;DIRITTO URBANISTICO;A5810067 - DIRITTO URBANISTICO;14;0.143;47
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810059;DIRITTO INTERNAZIONALE PRIVATO E PROCESSUALE;A5810059 - DIRITTO INTERNAZIONALE PRIVATO E PROCESSUALE;7;0.143;47
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810036;DIRITTO ROMANO;A5810036 - DIRITTO ROMANO;118;0.136;48
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810080;DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI;A5810080 - DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI;30;0.133;49
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810072;POLITICA ECONOMICA;A5810072 - POLITICA ECONOMICA;19;0.132;50
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810029;DIRITTO CANONICO;A5810029 - DIRITTO CANONICO;145;0.128;51
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810033;TEORIE DELL'INTERPRETAZIONE;A5810033 - TEORIE DELL'INTERPRETAZIONE;13;0.115;52
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810107;DIRITTO PENALE DELL'AMBIENTE;A5810107 - DIRITTO PENALE DELL'AMBIENTE;22;0.114;53
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810050;DIRITTO DEI MERCATI FINANZIARI;A5810050 - DIRITTO DEI MERCATI FINANZIARI;28;0.107;54
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810138;SOCIOLOGIA DEI DIRITTI FONDAMENTALI;A5810138 - SOCIOLOGIA DEI DIRITTI FONDAMENTALI;87;0.103;55
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810055;DIRITTO DI FAMIGLIA;A5810055 - DIRITTO DI FAMIGLIA;59;0.102;56
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810071;ORGANIZZAZIONE INTERNAZIONALE;A5810071 - ORGANIZZAZIONE INTERNAZIONALE;11;0.091;57
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810037;STORIA DEL DIRITTO ROMANO;A5810037 - STORIA DEL DIRITTO ROMANO;106;0.085;58
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810052;DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE;A5810052 - DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE;32;0.078;59
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810060;DIRITTO PENALE (PARTE SPECIALE);A5810060 - DIRITTO PENALE (PARTE SPECIALE);39;0.077;60
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810076;DIRITTO ECCLESIASTICO COMPARATO;A5810076 - DIRITTO ECCLESIASTICO COMPARATO;33;0.076;61
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810121;MEDIAZIONE CIVILE E COMMERCIALE;A5810121 - MEDIAZIONE CIVILE E COMMERCIALE;20;0.075;62
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810068;ECONOMIA POLITICA;A5810068 - ECONOMIA POLITICA;7;0.071;63
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810063;DIRITTO PENITENZIARIO;A5810063 - DIRITTO PENITENZIARIO;49;0.071;63
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810109;DIRITTO PENALE DELL'INFORMATICA;A5810109 - DIRITTO PENALE DELL'INFORMATICA;38;0.066;64
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810047;DIRITTO AMBIENTALE;A5810047 - DIRITTO AMBIENTALE;9;0.056;65
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810073;PROCEDURA PENALE EUROPEA;A5810073 - PROCEDURA PENALE EUROPEA;14;0.036;66
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810044;DIRITTO REGIONALE;A5810044 - DIRITTO REGIONALE;14;0.036;66
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810234;LA CORTE DI GIUSTIZIA: TECNICHE E STRUMENTI;A5810234 - LA CORTE DI GIUSTIZIA: TECNICHE E STRUMENTI;4;0.0;67
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810171;LAW OF BRICS COUNTRIES AND EU;A5810171 - LAW OF BRICS COUNTRIES AND EU;8;0.0;67
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810170;TRANSITIONAL JUSTICE AND STATE BUILDING;A5810170 - TRANSITIONAL JUSTICE AND STATE BUILDING;5;0.0;67
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810139;DIRITTO AMMINISTRATIVO -PARTE SPECIALE;A5810139 - DIRITTO AMMINISTRATIVO -PARTE SPECIALE;5;0.0;67
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810065;DIRITTO PUBBLICO DELL'ECONOMIA;A5810065 - DIRITTO PUBBLICO DELL'ECONOMIA;11;0.0;67
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;6;0.0;67
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q001;MATEMATICA;E0201Q001 - MATEMATICA;156;0.984;1
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q059;BIOCHIMICA PER LE BIOTECNOLOGIE;E0201Q059 - BIOCHIMICA PER LE BIOTECNOLOGIE;87;0.897;2
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q050;METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI;E0201Q050 - METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI;67;0.642;3
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q053;ORGANI E FUNZIONI;E0201Q053 - ORGANI E FUNZIONI;93;0.543;4
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q055;COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;E0201Q055 - COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;25;0.54;5
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q065;BIOCHIMICA SISTEMATICA UMANA;E0201Q065 - BIOCHIMICA SISTEMATICA UMANA;86;0.477;6
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q073;GENETICA MOLECOLARE UMANA;E0201Q073 - GENETICA MOLECOLARE UMANA;27;0.426;7
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q005;CHIMICA ORGANICA;E0201Q005 - CHIMICA ORGANICA;149;0.383;8
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q051;IMMUNOLOGIA;E0201Q051 - IMMUNOLOGIA;82;0.354;9
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q054;FARMACOLOGIA;E0201Q054 - FARMACOLOGIA;70;0.343;10
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q060;FERMENTAZIONI E BIOPROCESSI MICROBICI;E0201Q060 - FERMENTAZIONI E BIOPROCESSI MICROBICI;112;0.321;11
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q057;ANALISI DI FUNZIONI GENICHE;E0201Q057 - ANALISI DI FUNZIONI GENICHE;16;0.313;12
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q046;INFORMATICA;E0201Q046 - INFORMATICA;137;0.303;13
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q064;PROCESSI INDUSTRIALI E BIORAFFINERIE;E0201Q064 - PROCESSI INDUSTRIALI E BIORAFFINERIE;25;0.3;14
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q075;BIOTECNOLOGIE CELLULARI;E0201Q075 - BIOTECNOLOGIE CELLULARI;32;0.25;15
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q067;PATOLOGIA GENERALE;E0201Q067 - PATOLOGIA GENERALE;44;0.239;16
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q049;BIOCHIMICA;E0201Q049 - BIOCHIMICA;101;0.223;17
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q008;BIOLOGIA MOLECOLARE I;E0201Q008 - BIOLOGIA MOLECOLARE I;84;0.19;18
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q063;BIOCHIMICA CELLULARE;E0201Q063 - BIOCHIMICA CELLULARE;11;0.182;19
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q069;MICROBIOLOGIA INDUSTRIALE;E0201Q069 - MICROBIOLOGIA INDUSTRIALE;70;0.179;20
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q072;FISICA;E0201Q072 - FISICA;144;0.177;21
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q052;LABORATORI DI TECNOLOGIE ABILITANTI;E0201Q052 - LABORATORI DI TECNOLOGIE ABILITANTI;97;0.139;22
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q004;CHIMICA GENERALE ED INORGANICA;E0201Q004 - CHIMICA GENERALE ED INORGANICA;168;0.128;23
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q012;ECONOMIA AZIENDALE;E0201Q012 - ECONOMIA AZIENDALE;104;0.125;24
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q068;GENETICA;E0201Q068 - GENETICA;116;0.112;25
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q062;BIOLOGIA MOLECOLARE II;E0201Q062 - BIOLOGIA MOLECOLARE II;10;0.1;26
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q047;ISTITUZIONI DI BIOLOGIA;E0201Q047 - ISTITUZIONI DI BIOLOGIA;169;0.03;27
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q048;LABORATORIO DI CHIMICA;E0201Q048 - LABORATORIO DI CHIMICA;159;0.013;28
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q011;ZOOLOGIA;E1301Q011 - ZOOLOGIA;108;1.194;1
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q065;BIOCHIMICA SISTEMATICA UMANA;E0201Q065 - BIOCHIMICA SISTEMATICA UMANA;51;1.157;2
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q055;COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;E0201Q055 - COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;8;1.063;3
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q009;CHIMICA GENERALE;E1301Q009 - CHIMICA GENERALE;195;1.023;4
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q010;CHIMICA ORGANICA;E1301Q010 - CHIMICA ORGANICA;145;0.621;5
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q067;IMMUNOLOGIA E PATOLOGIA;E1301Q067 - IMMUNOLOGIA E PATOLOGIA;71;0.606;6
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q007;FISICA;E1301Q007 - FISICA;127;0.579;7
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q072;GENETICA;E1301Q072 - GENETICA;62;0.5;8
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q073;GENETICA MOLECOLARE UMANA;E0201Q073 - GENETICA MOLECOLARE UMANA;18;0.5;8
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q068;FISIOLOGIA DEI SISTEMI;E1301Q068 - FISIOLOGIA DEI SISTEMI;36;0.431;9
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q057;ANALISI DI FUNZIONI GENICHE;E0201Q057 - ANALISI DI FUNZIONI GENICHE;12;0.417;10
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q059;ECOLOGIA APPLICATA;E1301Q059 - ECOLOGIA APPLICATA;34;0.397;11
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q069;FARMACOLOGIA;E1301Q069 - FARMACOLOGIA;66;0.371;12
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q064;MICROBIOLOGIA;E1301Q064 - MICROBIOLOGIA;70;0.3;13
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q055;FISIOLOGIA VEGETALE;E1301Q055 - FISIOLOGIA VEGETALE;95;0.3;13
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E2401P019;PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI;E2401P019 - PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI;18;0.278;14
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E3401Q006;PALEONTOLOGIA;E3401Q006 - PALEONTOLOGIA;11;0.273;15
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q071;MATEMATICA E STATISTICA;E1301Q071 - MATEMATICA E STATISTICA;149;0.258;16
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q062;ECOLOGIA;E1301Q062 - ECOLOGIA;110;0.236;17
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q057;CHIMICA BIOLOGICA;E1301Q057 - CHIMICA BIOLOGICA;81;0.222;18
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q060;SISTEMATICA VEGETALE;E1301Q060 - SISTEMATICA VEGETALE;32;0.203;19
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E3401Q053;INTRODUZIONE ALLA GEOGRAFIA DEGLI OCEANI;E3401Q053 - INTRODUZIONE ALLA GEOGRAFIA DEGLI OCEANI;11;0.182;20
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q063;BOTANICA;E1301Q063 - BOTANICA;114;0.18;21
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q066;BIOLOGIA MOLECOLARE;E1301Q066 - BIOLOGIA MOLECOLARE;48;0.167;22
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q061;ECOFISIOLOGIA VEGETALE;E1301Q061 - ECOFISIOLOGIA VEGETALE;17;0.147;23
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q015;FISIOLOGIA GENERALE;E1301Q015 - FISIOLOGIA GENERALE;60;0.142;24
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q067;PATOLOGIA GENERALE;E0201Q067 - PATOLOGIA GENERALE;11;0.045;25
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q058;BIOCHIMICA CELLULARE;E1301Q058 - BIOCHIMICA CELLULARE;75;0.02;26
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q070;BIOLOGIA CELLULARE;E1301Q070 - BIOLOGIA CELLULARE;104;0.01;27
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q035;LABORATORIO DI CHIMICA;E1301Q035 - LABORATORIO DI CHIMICA;114;0.009;28
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q056;CITOLOGIA E ANATOMIA;E1301Q056 - CITOLOGIA E ANATOMIA;80;0.006;29
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E3201Q083;ANALISI CHIMICHE AMBIENTALI;E3201Q083 - ANALISI CHIMICHE AMBIENTALI;3;0.0;30
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q075;BIOTECNOLOGIE CELLULARI;E0201Q075 - BIOTECNOLOGIE CELLULARI;8;0.0;30
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;E1401A030;DIRITTO COMUNITARIO DELLA CONCORRENZA E DEL MERCATO INTERNO;E1401A030 - DIRITTO COMUNITARIO DELLA CONCORRENZA E DEL MERCATO INTERNO;3;1.167;1
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;E1401A015;ECONOMIA AZIENDALE;E1401A015 - ECONOMIA AZIENDALE;147;0.864;2
