cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;voto_medio_norm;ratio_promossi_iscritti;rating;rank_best;rank_worst
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810136;STORIA DEL PROCESSO PENALE;A5810136 - STORIA DEL PROCESSO PENALE;0.712;0.685;0.7039;53;21
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810011;GIUSTIZIA AMMINISTRATIVA;A5810011 - GIUSTIZIA AMMINISTRATIVA;0.769;0.536;0.6991;54;20
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810042;DIRITTO COSTITUZIONALE EUROPEO ( I DIRITTI FONDAMENTALI) MOD. JEAN MONNET;A5810042 - DIRITTO COSTITUZIONALE EUROPEO ( I DIRITTI FONDAMENTALI) MOD. JEAN MONNET;0.75;0.567;0.6951;55;19
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810012;DIRITTO TRIBUTARIO;A5810012 - DIRITTO TRIBUTARIO;0.742;0.558;0.6868;56;18
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810018;PROCEDURA PENALE;A5810018 - PROCEDURA PENALE;0.753;0.527;0.6852;57;17
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810057;DIRITTO INDUSTRIALE;A5810057 - DIRITTO INDUSTRIALE;0.758;0.5;0.6806;58;16
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810006;FILOSOFIA DEL DIRITTO;A5810006 - FILOSOFIA DEL DIRITTO;0.723;0.579;0.6798;59;15
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810126;DIRITTO CIVILE (IL CONTRATTO);A5810126 - DIRITTO CIVILE (IL CONTRATTO);0.667;0.69;0.6739;60;14
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810228;STORIA DEL DIRITTO MEDIEVALE E MODERNO;A5810228 - STORIA DEL DIRITTO MEDIEVALE E MODERNO;0.707;0.588;0.6713;61;13
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810070;MEDICINA LEGALE;A5810070 - MEDICINA LEGALE;0.74;0.508;0.6704;62;12
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810017;DIRITTO PROCESSUALE CIVILE;A5810017 - DIRITTO PROCESSUALE CIVILE;0.717;0.519;0.6576;63;11
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810015;DIRITTO PENALE;A5810015 - DIRITTO PENALE;0.689;0.575;0.6548;64;10
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810229;ISTITUZIONI DI DIRITTO ROMANO;A5810229 - ISTITUZIONI DI DIRITTO ROMANO;0.664;0.592;0.6424;65;9
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810137;TUTELA INTERNAZIONALE DEI DIRITTI UMANI;A5810137 - TUTELA INTERNAZIONALE DEI DIRITTI UMANI;0.692;0.52;0.6404;66;8
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810014;DIRITTO COMMERCIALE;A5810014 - DIRITTO COMMERCIALE;0.643;0.583;0.625;67;7
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810007;DIRITTO INTERNAZIONALE;A5810007 - DIRITTO INTERNAZIONALE;0.624;0.62;0.6228;68;6
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;0.625;0.613;0.6214;69;5
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810227;DIRITTO COSTITUZIONALE;A5810227 - DIRITTO COSTITUZIONALE;0.609;0.594;0.6045;70;4
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810019;ISTITUZIONI DI DIRITTO PRIVATO;A5810019 - ISTITUZIONI DI DIRITTO PRIVATO;0.599;0.554;0.5855;71;3
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810130;DIRITTO DELL'UNIONE EUROPEA;A5810130 - DIRITTO DELL'UNIONE EUROPEA;0.592;0.53;0.5734;72;2
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810031;INFORMATICA GIURIDICA;A5810031 - INFORMATICA GIURIDICA;0.603;0.423;0.549;73;1
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q048;LABORATORIO DI CHIMICA;E0201Q048 - LABORATORIO DI CHIMICA;0.804;0.988;0.8592;1;27
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q068;GENETICA;E0201Q068 - GENETICA;0.834;0.896;0.8526;2;26
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q072;FISICA;E0201Q072 - FISICA;0.836;0.834;0.8354;3;25
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q012;ECONOMIA AZIENDALE;E0201Q012 - ECONOMIA AZIENDALE;0.836;0.795;0.8237;4;24
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q052;LABORATORI DI TECNOLOGIE ABILITANTI;E0201Q052 - LABORATORI DI TECNOLOGIE ABILITANTI;0.846;0.767;0.8223;5;23
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q057;ANALISI DI FUNZIONI GENICHE;E0201Q057 - ANALISI DI FUNZIONI GENICHE;0.833;0.682;0.7877;6;22
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q047;ISTITUZIONI DI BIOLOGIA;E0201Q047 - ISTITUZIONI DI BIOLOGIA;0.713;0.943;0.782;7;21
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q069;MICROBIOLOGIA INDUSTRIALE;E0201Q069 - MICROBIOLOGIA INDUSTRIALE;0.743;0.853;0.776;8;20
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q054;FARMACOLOGIA;E0201Q054 - FARMACOLOGIA;0.779;0.742;0.7679;9;19
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q075;BIOTECNOLOGIE CELLULARI;E0201Q075 - BIOTECNOLOGIE CELLULARI;0.817;0.619;0.7576;10;18
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q008;BIOLOGIA MOLECOLARE I;E0201Q008 - BIOLOGIA MOLECOLARE I;0.747;0.72;0.7389;11;17
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q065;BIOCHIMICA SISTEMATICA UMANA;E0201Q065 - BIOCHIMICA SISTEMATICA UMANA;0.758;0.667;0.7307;12;16
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q005;CHIMICA ORGANICA;E0201Q005 - CHIMICA ORGANICA;0.731;0.719;0.7274;13;15
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q051;IMMUNOLOGIA;E0201Q051 - IMMUNOLOGIA;0.733;0.712;0.7267;14;14
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q049;BIOCHIMICA;E0201Q049 - BIOCHIMICA;0.69;0.805;0.7245;15;13
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q046;INFORMATICA;E0201Q046 - INFORMATICA;0.707;0.75;0.7199;16;12
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q064;PROCESSI INDUSTRIALI E BIORAFFINERIE;E0201Q064 - PROCESSI INDUSTRIALI E BIORAFFINERIE;0.701;0.706;0.7025;17;11
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q060;FERMENTAZIONI E BIOPROCESSI MICROBICI;E0201Q060 - FERMENTAZIONI E BIOPROCESSI MICROBICI;0.687;0.72;0.6969;18;10
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q062;BIOLOGIA MOLECOLARE II;E0201Q062 - BIOLOGIA MOLECOLARE II;0.592;0.909;0.6871;19;9
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q073;GENETICA MOLECOLARE UMANA;E0201Q073 - GENETICA MOLECOLARE UMANA;0.677;0.676;0.6767;20;8
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q004;CHIMICA GENERALE ED INORGANICA;E0201Q004 - CHIMICA GENERALE ED INORGANICA;0.619;0.79;0.6703;21;7
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q067;PATOLOGIA GENERALE;E0201Q067 - PATOLOGIA GENERALE;0.627;0.759;0.6666;22;6
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q001;MATEMATICA;E0201Q001 - MATEMATICA;0.545;0.526;0.5393;23;5
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q055;COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;E0201Q055 - COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;0.497;0.632;0.5375;24;4
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q053;ORGANI E FUNZIONI;E0201Q053 - ORGANI E FUNZIONI;0.477;0.648;0.5283;25;3
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q059;BIOCHIMICA PER LE BIOTECNOLOGIE;E0201Q059 - BIOCHIMICA PER LE BIOTECNOLOGIE;0.451;0.537;0.4768;26;2
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q050;METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI;E0201Q050 - METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI;0.386;0.605;0.4517;27;1
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q075;BIOTECNOLOGIE CELLULARI;E0201Q075 - BIOTECNOLOGIE CELLULARI;0.76;1.0;0.832;1;31
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q015;FISIOLOGIA GENERALE;E1301Q015 - FISIOLOGIA GENERALE;0.812;0.846;0.8222;2;30
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q063;BOTANICA;E1301Q063 - BOTANICA;0.826;0.723;0.7951;3;29
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q070;BIOLOGIA CELLULARE;E1301Q070 - BIOLOGIA CELLULARE;0.701;0.981;0.785;4;28
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q056;CITOLOGIA E ANATOMIA;E1301Q056 - CITOLOGIA E ANATOMIA;0.67;0.988;0.7654;5;27
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q057;ANALISI DI FUNZIONI GENICHE;E0201Q057 - ANALISI DI FUNZIONI GENICHE;0.852;0.563;0.7653;6;26
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q062;ECOLOGIA;E1301Q062 - ECOLOGIA;0.762;0.748;0.7578;7;25
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q061;ECOFISIOLOGIA VEGETALE;E1301Q061 - ECOFISIOLOGIA VEGETALE;0.755;0.762;0.7571;8;24
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q058;BIOCHIMICA CELLULARE;E1301Q058 - BIOCHIMICA CELLULARE;0.669;0.961;0.7566;9;23
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q066;BIOLOGIA MOLECOLARE;E1301Q066 - BIOLOGIA MOLECOLARE;0.729;0.815;0.7548;10;22
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E3401Q053;INTRODUZIONE ALLA GEOGRAFIA DEGLI OCEANI;E3401Q053 - INTRODUZIONE ALLA GEOGRAFIA DEGLI OCEANI;0.792;0.667;0.7545;11;21
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q060;SISTEMATICA VEGETALE;E1301Q060 - SISTEMATICA VEGETALE;0.767;0.698;0.7463;12;20
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q072;GENETICA;E1301Q072 - GENETICA;0.852;0.427;0.7245;13;19
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q064;MICROBIOLOGIA;E1301Q064 - MICROBIOLOGIA;0.688;0.778;0.715;14;18
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q055;FISIOLOGIA VEGETALE;E1301Q055 - FISIOLOGIA VEGETALE;0.749;0.59;0.7013;15;17
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q069;FARMACOLOGIA;E1301Q069 - FARMACOLOGIA;0.695;0.639;0.6782;16;16
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E2401P019;PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI;E2401P019 - PSICOBIOLOGIA DEI DISTURBI COMPORTAMENTALI;0.637;0.773;0.6778;17;15
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q059;ECOLOGIA APPLICATA;E1301Q059 - ECOLOGIA APPLICATA;0.721;0.569;0.6754;18;14
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E3401Q006;PALEONTOLOGIA;E3401Q006 - PALEONTOLOGIA;0.692;0.625;0.6719;19;13
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q067;IMMUNOLOGIA E PATOLOGIA;E1301Q067 - IMMUNOLOGIA E PATOLOGIA;0.699;0.59;0.6663;20;12
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q009;CHIMICA GENERALE;E1301Q009 - CHIMICA GENERALE;0.701;0.563;0.6596;21;11
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q010;CHIMICA ORGANICA;E1301Q010 - CHIMICA ORGANICA;0.687;0.581;0.6552;22;10
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q068;FISIOLOGIA DEI SISTEMI;E1301Q068 - FISIOLOGIA DEI SISTEMI;0.69;0.56;0.651;23;9
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q073;GENETICA MOLECOLARE UMANA;E0201Q073 - GENETICA MOLECOLARE UMANA;0.667;0.6;0.6469;24;8
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q067;PATOLOGIA GENERALE;E0201Q067 - PATOLOGIA GENERALE;0.523;0.917;0.6412;25;7
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q057;CHIMICA BIOLOGICA;E1301Q057 - CHIMICA BIOLOGICA;0.602;0.725;0.6389;26;6
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q071;MATEMATICA E STATISTICA;E1301Q071 - MATEMATICA E STATISTICA;0.494;0.808;0.5882;27;5
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q007;FISICA;E1301Q007 - FISICA;0.631;0.467;0.5818;28;4
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q055;COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;E0201Q055 - COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;0.604;0.5;0.5728;29;3
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q065;BIOCHIMICA SISTEMATICA UMANA;E0201Q065 - BIOCHIMICA SISTEMATICA UMANA;0.528;0.495;0.5181;30;2
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E1301Q011;ZOOLOGIA;E1301Q011 - ZOOLOGIA;0.534;0.41;0.4968;31;1
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;E1401A088;ADR- STRUMENTI DI COMPOSIZIONE DELLE LITI NEL DIRITTO CIVILE;E1401A088 - ADR- STRUMENTI DI COMPOSIZIONE DELLE LITI NEL DIRITTO CIVILE;0.963;0.918;0.9495;1;28
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;E1401A024;INFORMATICA PER LE PUBBLICHE AMMINISTRAZIONI;E1401A024 - INFORMATICA PER LE PUBBLICHE AMMINISTRAZIONI;0.822;0.917;0.8505;2;27
